剧本ID,剧名,角色名,行当,性别,服饰备注
01001010,黄金台,伊立,净,male,
01001010,黄金台,田法章,小生,male,
01001010,黄金台,乳娘,老旦,female,
01001010,黄金台,衙役甲,丑,male,
01001010,黄金台,衙役乙,丑,male,
01001011,文昭关,伍员,老生,male,
01001011,文昭关,东皋公,外,unknown,
01001011,文昭关,皇甫讷,末,unknown,
01001011,文昭关,米南适,净,male,
01001012,黄鹤楼,刘备,老生,male,
01001012,黄鹤楼,赵云,小生,male,
01001012,黄鹤楼,周瑜,小生,male,
01001012,黄鹤楼,诸葛亮,老生,male,
01001012,黄鹤楼,张飞,净,male,
01001012,黄鹤楼,鲁肃,老生,male,
01001013,天水关,诸葛亮,老生,male,
01001013,天水关,姜维,净,male,
01001013,天水关,刘禅,小生,male,
01001014,七星灯,诸葛亮,老生,male,
01001014,七星灯,姜维,末,unknown,
01001014,七星灯,司马懿,净,male,
01001015,战北原,诸葛亮,老生,male,
01001015,战北原,郑文,净,male,
01001016,牧羊卷,朱春登,老生,male,
01001016,牧羊卷,赵锦堂,正旦,unknown,
01001016,牧羊卷,朱母,老旦,female,
01001016,牧羊卷,朱春科,小生,male,
01001016,牧羊卷,宋氏,丑旦,female,
01001016,牧羊卷,中军,净,male,
01001016,牧羊卷,衙役甲,丑,male,
01001016,牧羊卷,衙役乙,丑,male,
01001017,清官册,寇准,老生,male,
01001017,清官册,潘洪,净,male,
01001017,清官册,赵德芳,小生,male,
01001017,清官册,马牌子,丑,male,
01001017,清官册,夫人,正旦,unknown,
01001018,双狮图,徐策,老生,male,
01001018,双狮图,薛蛟,小生,male,
01001018,双狮图,书童,丑,male,
01001019,柴桑口,诸葛亮,老生,male,
01001019,柴桑口,鲁肃,老生,male,
01001019,柴桑口,周循,小生,male,
01001020,宋江闹院,宋江,老生,male,
01001020,宋江闹院,阎惜姣,花旦,female,
01001020,宋江闹院,张文远,丑,male,
01002001,李陵碑,杨继业,老生,male,
01002001,李陵碑,杨延昭,末,unknown,
01002001,李陵碑,杨延嗣,净,male,
01002003,祭长江,孙尚香,正旦,unknown,
01002004,探寒窑,陈氏,老旦,female,
01002004,探寒窑,王宝钏,正旦,unknown,
01002005,落花园,陈杏元,正旦,unknown,
01002005,落花园,邹云英,旦,female,
01002005,落花园,邹母,老旦,female,
01002006,探阴山,包拯,净,male,
01002006,探阴山,油流鬼,丑,male,
01002006,探阴山,柳金蝉,旦,female,
01002007,打金枝,唐王,老生,male,
01002007,打金枝,郭子仪,外,unknown,
01002007,打金枝,郭暧,小生,male,
01002007,打金枝,公主,旦,female,
01002007,打金枝,皇后,旦,female,
01002008,八义图,程婴,老生,male,
01002008,八义图,屠岸贾,净,male,
01002008,八义图,公孙杵臼,外,unknown,
01002008,八义图,程妻,旦,female,
01002009,鱼肠剑,伍员,老生,male,
01002009,鱼肠剑,专诸,净,male,
01002009,鱼肠剑,姬光,老生,male,
01002009,鱼肠剑,孙武,老生,male,
01002009,鱼肠剑,被离,老生,male,
01002009,鱼肠剑,刘展雄,净,male,
01002009,鱼肠剑,专诸妻,旦,female,
01002010,钓金龟,康氏,老旦,female,
01002010,钓金龟,张义,丑,male,
01002011,梅龙镇,正德帝,老生,male,
01002011,梅龙镇,李凤姐,旦,female,
01002012,白门楼,吕布,小生,male,
01002012,白门楼,貂蝉,旦,female,
01002012,白门楼,曹操,净,male,
01002012,白门楼,刘备,老生,male,
01002012,白门楼,陈宫,老生,male,
01002013,华容道,关羽,红生,unknown,
01002013,华容道,曹操,净,male,
01002014,宇宙锋,赵艳容,正旦,unknown,
01002014,宇宙锋,赵高,净,male,
01002014,宇宙锋,秦王,小生,male,
01002015,取帅印,秦琼,老生,male,
01002015,取帅印,程咬金,丑,male,
01002015,取帅印,秦怀玉,小生,male,
01002015,取帅印,尉迟恭,净,male,
01002016,打渔杀家,萧恩,老生,male,
01002016,打渔杀家,萧桂英,旦,female,
01002016,打渔杀家,大教师,丑,male,
01002016,打渔杀家,李俊,老生,male,
01002016,打渔杀家,倪荣,净,male,
01002017,黑风帕,高旺,净,male,
01002017,黑风帕,杨八妹,旦,female,
01002017,黑风帕,高来,丑,male,
01002017,黑风帕,张保,小生,male,
01002017,黑风帕,鞑婆,旦,female,
01002017,黑风帕,张兰英,老旦,female,
01002018,目莲救母,刘清提,老旦,female,
01002018,目莲救母,目莲,小生,male,
01002018,目莲救母,大鬼,净,male,
01002019,红鸾禧,金玉奴,旦,female,
01002019,红鸾禧,莫稽,小生,male,
01002019,红鸾禧,金松,丑,male,
01002019,红鸾禧,二杆,丑,male,
01002020,白状元祭塔,白素贞,旦,female,
01002020,白状元祭塔,许仕林,小生,male,
01003001,卖马,范仲禹,老生,male,
01003001,卖马,葛登云,净,male,
01003001,卖马,樵夫,丑,male,
01003001,卖马,葛虎,丑,male,
01003001,卖马,报禄甲,丑,male,
01003001,卖马,报禄乙,丑,male,
01003002,群英会,诸葛亮,老生,male,
01003002,群英会,周瑜,小生,male,
01003002,群英会,鲁肃,老生,male,
01003002,群英会,蒋干,丑,male,
01003002,群英会,曹操,净,male,
01003002,群英会,黄盖,净,male,
01003002,群英会,甘宁,净,male,
01003002,群英会,蔡中,小生,male,
01003002,群英会,蔡和,小生,male,
01003002,群英会,蔡瑁,净,male,
01003002,群英会,张允,净,male,
01003002,群英会,太史慈,净,male,
01003002,群英会,阚泽,老生,male,
01003003,桑园会,秋胡,老生,male,
01003003,桑园会,罗氏,正旦,unknown,
01003003,桑园会,秋母,老旦,female,
01003005,拾黄金,范陶,丑,male,
01003006,辕门斩子,杨延昭,老生,male,
01003006,辕门斩子,焦赞,净,male,
01003006,辕门斩子,孟良,净,male,
01003006,辕门斩子,佘太君,老旦,female,
01003006,辕门斩子,赵德芳,老生,male,
01003006,辕门斩子,杨宗保,小生,male,
01003006,辕门斩子,穆桂英,武旦,female,
01003006,辕门斩子,穆瓜,旦,female,
01003008,断太后,李后,老旦,female,
01003008,断太后,包拯,净,male,
01003008,断太后,地方,丑,male,
01003009,打龙袍,李后,老旦,female,
01003009,打龙袍,包拯,净,male,
01003009,打龙袍,宋仁宗,小生,male,
01003009,打龙袍,灯官,丑,male,
01003009,打龙袍,王延龄,老生,male,
01003009,打龙袍,陈琳,丑,male,
01003010,战蒲关,刘忠,老生,male,
01003010,战蒲关,王霸,老生,male,
01003010,战蒲关,徐艳贞,旦,female,
01003011,斩黄袍,赵匡胤,红生,unknown,
01003011,斩黄袍,郑恩,净,male,
01003011,斩黄袍,苗顺,末,unknown,
01003011,斩黄袍,韩龙,丑,male,
01003011,斩黄袍,郑英,小生,male,
01003011,斩黄袍,陶三春,正旦,unknown,
01003011,斩黄袍,家院,老生,male,
01003012,彩楼配,王宝钏,正旦,unknown,
01003012,彩楼配,薛平贵,小生,male,
01003012,彩楼配,游人甲,老生,male,
01003012,彩楼配,游人乙,末,unknown,
01003012,彩楼配,游人丙,小生,male,
01003012,彩楼配,游人丁,丑,male,
01003012,彩楼配,月老,老旦,female,
01003013,滑油山,刘青提,老旦,female,
01003014,富春楼,周翠屏,旦,female,
01003014,富春楼,陈魁,小生,male,
01003015,阴阳河,张茂深,老生,male,
01003015,阴阳河,李桂莲,旦,female,
01003015,阴阳河,店家,丑,male,
01003016,打花鼓,鼓婆,旦,female,
01003016,打花鼓,鼓郎,丑,male,
01003016,打花鼓,公子,丑,male,
01003017,独木关,薛礼,武生,male,
01003017,独木关,安殿宝,净,male,
01003017,独木关,二老军,丑,male,
01003017,独木关,张志龙,丑,male,
01003017,独木关,何宗宪,丑,male,
01003018,丑表功,保儿,丑,male,
01003018,丑表功,万人迷,花旦,female,
01003018,丑表功,顶先生,老生,male,
01004001,逍遥津,汉献帝,老生,male,
01004001,逍遥津,曹操,净,male,
01004001,逍遥津,伏后,旦,female,
01004001,逍遥津,曹妃,旦,female,
01004001,逍遥津,穆顺,生,unknown,
01004001,逍遥津,二皇子,娃娃生,unknown,
01004001,逍遥津,伏完,生,unknown,
01004001,逍遥津,华歆,丑,male,
01004001,逍遥津,司马懿,老生,male,
01004001,逍遥津,贾诩,老生,male,
01004001,逍遥津,郄虑,净,male,
01004001,逍遥津,王粲,生,unknown,
01004001,逍遥津,曹植,小生,male,
01004001,逍遥津,文聘,生,unknown,
01004001,逍遥津,夏侯渊,净,male,
01004001,逍遥津,张辽,生,unknown,
01004004,盗宗卷,张苍,老生,male,
01004004,盗宗卷,陈平,老生,male,
01004004,盗宗卷,田子春,老生,male,
01004004,盗宗卷,张夫人,老旦,female,
01004004,盗宗卷,张秀玉,小生,male,
01004004,盗宗卷,家院,丑,male,
01004004,盗宗卷,吕后,旦,female,
01004006,辕门射戟,吕布,小生,male,
01004006,辕门射戟,刘备,老生,male,
01004006,辕门射戟,张飞,净,male,
01004006,辕门射戟,纪灵,净,male,
01004007,取荥阳,刘邦,老生,male,
01004007,取荥阳,纪信,老生,male,
01004007,取荥阳,项羽,净,male,
01004007,取荥阳,张良,老生,male,
01004007,取荥阳,陈平,老生,male,
01004008,大保国,李艳妃,正旦,unknown,
01004008,大保国,徐延昭,净,male,
01004008,大保国,杨波,老生,male,
01004008,大保国,李良,净,male,
01004009,忠孝全,秦季龙,小生,male,
01004009,忠孝全,王振,净,male,
01004009,忠孝全,秦洪,末,unknown,
01004010,双投唐,李密,净,male,
01004010,双投唐,王伯党,老生,male,
01004010,双投唐,李世民,小生,male,
01004010,双投唐,李渊,外,unknown,
01004010,双投唐,河阳公主,旦,female,
01004011,飞虎山,安敬思,小生,male,
01004011,飞虎山,李克用,净,male,
01004011,飞虎山,周德威,老生,male,
01004011,飞虎山,李嗣源,老生,male,
01004011,飞虎山,李存信,净,male,
01004011,飞虎山,康君利,丑,male,
01004012,女起解,苏三,旦,female,
01004012,女起解,张公道,丑,male,
01004012,女起解,狱官,末,unknown,
01004014,遗翠花,相公,小生,male,
01004014,遗翠花,翠香,花旦,female,
01004014,遗翠花,小姐,旦,female,
01004014,遗翠花,老夫人,老旦,female,
01004015,新安驿,周凤英,旦,female,
01004015,新安驿,李氏,丑,male,
01004015,新安驿,罗雁,旦,female,
01004015,新安驿,赵美容,旦,female,
01004016,小上坟,刘禄敬,丑,male,
01004016,小上坟,萧素贞,花旦,female,
01004016,小上坟,二青袍,丑,male,
01005001,武家坡,薛平贵,老生,male,
01005001,武家坡,王宝钏,旦,female,
01005002,浣纱记,伍员,老生,male,
01005002,浣纱记,渔父,丑,male,
01005002,浣纱记,浣纱女,正旦,unknown,
01005003,天雷报,张元秀,外,unknown,
01005003,天雷报,周氏,老旦,female,
01005003,天雷报,张继保,小生,male,
01005003,天雷报,薛荣,老生,male,
01005003,天雷报,周桂英,正旦,unknown,
01005003,天雷报,周小义,丑,male,
01005005,沙陀国,李克用,净,male,
01005005,沙陀国,程敬思,老生,male,
01005005,沙陀国,二王娘,正旦,unknown,
01005005,沙陀国,大王娘,小旦,unknown,
01005005,沙陀国,李嗣源,小生,male,
01005006,六月雪,窦娥,正旦,unknown,
01005006,六月雪,蔡母,老旦,female,
01005006,六月雪,禁婆,丑旦,female,
01005006,六月雪,钱惠命,丑,male,
01005007,二进宫,李艳妃,正旦,unknown,
01005007,二进宫,徐延昭,净,male,
01005007,二进宫,杨波,老生,male,
01005007,二进宫,徐小姐,旦,female,
01005007,二进宫,杨四郎,小生,male,
01005008,玉堂春,苏三,旦,female,
01005008,玉堂春,王金龙,小生,male,
01005008,玉堂春,藩台,老生,male,
01005008,玉堂春,臬台,老生,male,
01005008,玉堂春,张公道,丑,male,
01005009,孝感天,武姜,老旦,female,
01005009,孝感天,共叔段,小生,male,
01005009,孝感天,魏氏,正旦,unknown,
01005010,御碑亭,王有道,老生,male,
01005010,御碑亭,孟月华,正旦,unknown,
01005010,御碑亭,柳生春,小生,male,
01005010,御碑亭,王淑英,正旦,unknown,
01005010,御碑亭,孟德禄,丑,male,
01005010,御碑亭,孟明时,外,unknown,
01005010,御碑亭,孟夫人,老旦,female,
01005010,御碑亭,申嵩,老生,male,
01005010,御碑亭,进士甲,末,unknown,
01005010,御碑亭,进士乙,老生,male,
01005011,回荆州,刘备,老生,male,
01005011,回荆州,孙尚香,正旦,unknown,
01005011,回荆州,赵云,武生,male,
01005011,回荆州,周瑜,小生,male,
01005011,回荆州,张飞,净,male,
01005011,回荆州,诸葛亮,老生,male,
01005012,海潮珠,崔杼,老生,male,
01005012,海潮珠,棠姜,花旦,female,
01005012,海潮珠,齐王,丑,male,
01005012,海潮珠,太监,丑,male,
01005013,双摇会,王氏,旦,female,
01005013,双摇会,小妾,旦,female,
01005013,双摇会,李相公,小生,male,
01005013,双摇会,老街坊,丑,male,
01005013,双摇会,小街坊,丑,male,
01005013,双摇会,书童,丑,male,
01005014,胭脂虎,石中玉,花旦,female,
01005014,胭脂虎,李景让,老生,male,
01005014,胭脂虎,太夫人,老旦,female,
01005014,胭脂虎,王行瑜,小生,male,
01005014,胭脂虎,军政司,丑,male,
01005015,审李七,李七,净,male,
01005015,审李七,王良,小生,male,
01005015,审李七,李永成,老生,male,
01005015,审李七,禁卒,丑,male,
01005016,大劈棺,田氏,花旦,female,
01005016,大劈棺,庄周,老生,male,
01005016,大劈棺,王孙,小生,male,
01005017,柳林池,韩琪,老生,male,
01005017,柳林池,秦香莲,旦,female,
01006001,连营寨,刘备,老生,male,
01006001,连营寨,陆逊,小生,male,
01006001,连营寨,关兴,武生,male,
01006001,连营寨,张苞,净,male,
01006001,连营寨,孙权,净,male,
01006002,战长沙,黄忠,老生,male,
01006002,战长沙,关羽,红生,unknown,
01006002,战长沙,魏延,净,male,
01006002,战长沙,韩玄,老生,male,
01006003,草桥关,姚期,净,male,
01006003,草桥关,刘秀,老生,male,
01006003,草桥关,马武,净,male,
01006003,草桥关,岑彭,老生,male,
01006003,草桥关,杜茂,老生,male,
01006003,草桥关,郭妃,旦,female,
01006003,草桥关,郭荣,净,male,
01006004,九更天,马义,老生,male,
01006004,九更天,米进途,小生,male,
01006004,九更天,马女,正旦,unknown,
01006004,九更天,马妻,老旦,female,
01006004,九更天,侯花嘴,丑,male,
01006004,九更天,知县,老生,male,
01006004,九更天,陶氏,花旦,female,
01006005,状元谱,陈伯愚,老生,male,
01006005,状元谱,陈大官,小生,male,
01006005,状元谱,陈夫人,老旦,female,
01006005,状元谱,张公道,丑,male,
01006005,状元谱,朱仓,丑,male,
01006006,叹皇陵,徐延昭,净,male,
01006006,叹皇陵,杨波,老生,male,
01006006,叹皇陵,赵飞,丑,male,
01006007,定军山,黄忠,老生,male,
01006007,定军山,严颜,老生,male,
01006007,定军山,夏侯渊,净,male,
01006007,定军山,诸葛亮,老生,male,
01006007,定军山,程芝,丑,male,
01006007,定军山,夏侯尚,丑,male,
01006007,定军山,张郃,净,male,
01006007,定军山,刘备,老生,male,
01006007,定军山,赵云,老生,male,
01006007,定军山,旗牌,丑,male,
01006008,宝莲灯,刘彦昌,老生,male,
01006008,宝莲灯,王桂英,正旦,unknown,
01006008,宝莲灯,沉香,小生,male,
01006008,宝莲灯,秋儿,小生,male,
01006008,宝莲灯,秦灿,净,male,
01006009,连环套【三本】,窦尔敦,净,male,
01006009,连环套【三本】,黄天霸,武生,male,
01006009,连环套【三本】,报子,丑,male,
01006010,落马湖,黄天霸,武生,male,
01006010,落马湖,施世纶,老生,male,
01006010,落马湖,李大成,老生,male,
01006010,落马湖,朱光祖,武丑,unknown,
01006010,落马湖,褚彪,武老生,unknown,
01006011,花田错【前本】,春兰,花旦,female,
01006011,花田错【前本】,卞机,小生,male,
01006011,花田错【前本】,刘月英,旦,female,
01006011,花田错【前本】,周通,净,male,
01006011,花田错【前本】,刘得明,外,unknown,
01006011,花田错【前本】,刘夫人,老旦,female,
01006011,花田错【前本】,张三,丑,male,
01006012,梵王宫,刘杭燕,花旦,female,
01006012,梵王宫,华云,小生,male,
01006012,梵王宫,嫂子,正旦,unknown,
01006012,梵王宫,花妈妈,彩旦,female,
01006013,孝义节,孙尚香,正旦,unknown,
01006013,孝义节,吴国太,老旦,female,
01006013,孝义节,门神甲,丑,male,
01006013,孝义节,门神乙,生,unknown,
01006014,金水桥,李世民,老生,male,
01006014,金水桥,银屏公主,旦,female,
01006014,金水桥,长孙皇后,老旦,female,
01006014,金水桥,詹妃,旦,female,
01006014,金水桥,秦英,净,male,
01006014,金水桥,徐勣,外,unknown,
01006015,罗成托梦,罗成,小生,male,
01006015,罗成托梦,李世民,小生,male,
01006015,罗成托梦,罗妻,旦,female,
01006016,探亲相骂,胡妈妈,彩旦,female,
01006016,探亲相骂,李奶奶,小旦,unknown,
01006016,探亲相骂,胡老头儿,外,unknown,
01006016,探亲相骂,野花,旦,female,
01006016,探亲相骂,李相公,小生,male,
01006017,双包案,包拯,净,male,
01006017,双包案,假包拯,净,male,
01006017,双包案,施俊,小生,male,
01006017,双包案,假施俊,小生,male,
01006018,上天台,刘秀,老生,male,
01006018,上天台,姚期,净,male,
01006018,上天台,郭妃,正旦,unknown,
01006019,三疑计,李月英,旦,female,
01006019,三疑计,唐寅,老生,male,
01006019,三疑计,唐子其,小生,male,
01006019,三疑计,书童,丑,male,
01007001,卖马,秦琼,老生,male,
01007001,卖马,王老好,丑,male,
01007001,卖马,单雄信,净,male,
01007001,卖马,王伯当,小生,male,
01007001,卖马,谢映登,小生,male,
01007001,卖马,酒保,丑,male,
01007002,八大锤,王佐,老生,male,
01007002,八大锤,陆文龙,小生,male,
01007002,八大锤,乳娘,老旦,female,
01007002,八大锤,兀术,净,male,
01007003,铡美案,包拯,净,male,
01007003,铡美案,秦香莲,旦,female,
01007003,铡美案,陈士美,老生,male,
01007003,铡美案,公主,旦,female,
01007003,铡美案,国太,老旦,female,
01007004,五台山,杨延德,净,male,
01007004,五台山,杨延昭,老生,male,
01007004,五台山,老僧,外,unknown,
01007005,凤鸣关,赵云,老生,male,
01007005,凤鸣关,诸葛亮,老生,male,
01007006,罗成叫关,罗成,小生,male,
01007006,罗成叫关,罗春,小生,male,
01007008,别宫,孙尚香,正旦,unknown,
01007008,别宫,吴国太,老旦,female,
01007011,蝴蝶杯【后本】,田玉川,小生,male,
01007011,蝴蝶杯【后本】,胡凤莲,贴旦,unknown,
01007011,蝴蝶杯【后本】,鲁林,净,male,
01007011,蝴蝶杯【后本】,鲁凤英,花旦,female,
01007011,蝴蝶杯【后本】,田云山,正生,unknown,
01007011,蝴蝶杯【后本】,田夫人,正旦,unknown,
01007011,蝴蝶杯【后本】,徐锡,老生,male,
01007011,蝴蝶杯【后本】,董文,老丑,male,
01007011,蝴蝶杯【后本】,郝自良,二净,unknown,
01007011,蝴蝶杯【后本】,姚文俭,副净,unknown,
01007011,蝴蝶杯【后本】,田明,外,unknown,
01007011,蝴蝶杯【后本】,唐让,末,unknown,
01007011,蝴蝶杯【后本】,家郎,小丑,unknown,
01007011,蝴蝶杯【后本】,鲁夫人,老旦,female,
01007011,蝴蝶杯【后本】,藏哪,花净,unknown,
01007011,蝴蝶杯【后本】,叭噜咕,老净,unknown,
01007011,蝴蝶杯【后本】,傧相,小丑,unknown,
01007011,蝴蝶杯【后本】,丫鬟,小旦,unknown,
01007011,蝴蝶杯【后本】,丑丫鬟,彩旦,female,
01007013,刺王僚,姬僚,净,male,
01007013,刺王僚,姬光,老生,male,
01007013,刺王僚,专诸,净,male,
01007014,五雷阵,孙膑,老生,male,
01007014,五雷阵,孙燕,小生,male,
01007014,五雷阵,毛蕡,净,male,
01007014,五雷阵,王翦,净,male,
01007015,铁莲花,刘子忠,老生,male,
01007015,铁莲花,马氏,丑旦,female,
01007015,铁莲花,刘定生,小生,male,
01007015,铁莲花,宝珠,丑,male,
01007016,纺棉花,王氏,旦,female,
01007016,纺棉花,张三,丑,male,
01008003,汾河湾,薛仁贵,老生,male,
01008003,汾河湾,柳金花,正旦,unknown,
01008003,汾河湾,薛丁山,小生,male,
01008004,阳平关,曹操,净,male,
01008004,阳平关,黄忠,老生,male,
01008004,阳平关,赵云,武生,male,
01008004,阳平关,王平,老生,male,
01008004,阳平关,徐晃,净,male,
01008004,阳平关,张郃,净,male,
01008005,算粮登殿,王宝钏,正旦,unknown,
01008005,算粮登殿,薛平贵,老生,male,
01008005,算粮登殿,王允,老生,male,
01008005,算粮登殿,苏龙,老生,male,
01008005,算粮登殿,魏虎,净,male,
01008005,算粮登殿,王金钏,旦,female,
01008005,算粮登殿,王银钏,旦,female,
01008005,算粮登殿,王母,老旦,female,
01008006,虹霓关,东方氏,旦,female,
01008006,虹霓关,丫鬟,正旦,unknown,
01008006,虹霓关,王伯党,小生,male,
01008006,虹霓关,辛文礼,净,male,
01008006,虹霓关,老军,丑,male,
01008006,虹霓关,秦琼,老生,male,
01008008,杜十娘,杜十娘,旦,female,
01008008,杜十娘,李迁仙,小生,male,
01008008,杜十娘,孙富,丑,male,
01008008,杜十娘,鸨儿,彩旦,female,
01008008,杜十娘,王八,丑,male,
01008008,杜十娘,刘玉春,老生,male,
01008008,杜十娘,书生,末,unknown,
01008009,遇龙封官,朱棣,老生,male,
01008009,遇龙封官,白简,小生,male,
01008009,遇龙封官,林江,丑,male,
01008010,二姐逛庙,刘二姐,彩旦,female,
01008010,二姐逛庙,陈氏,老旦,female,
01008010,二姐逛庙,女儿,小旦,unknown,
01008011,双钉记,白金莲,花旦,female,
01008011,双钉记,胡能手,丑,male,
01008011,双钉记,贾有礼,丑,male,
01008011,双钉记,债主,丑,male,
01009001,失街亭,诸葛亮,老生,male,
01009001,失街亭,马谡,净,male,
01009001,失街亭,王平,老生,male,
01009001,失街亭,司马懿,净,male,
01009002,斩马谡,诸葛亮,老生,male,
01009002,斩马谡,马谡,净,male,
01009002,斩马谡,王平,老生,male,
01009003,凤仪亭,貂蝉,旦,female,
01009003,凤仪亭,吕布,小生,male,
01009003,凤仪亭,董卓,净,male,
01009004,十八扯,孔怀,丑,male,
01009004,十八扯,孔秀英,花旦,female,
01009005,岳家庄,岳云,小生,male,
01009005,岳家庄,岳银屏,小旦,unknown,
01009005,岳家庄,岳母,老旦,female,
01009005,岳家庄,李氏,正旦,unknown,
01009005,岳家庄,牛皋,净,male,
01009006,长坂坡,赵云,武生,male,
01009006,长坂坡,曹操,净,male,
01009006,长坂坡,刘备,老生,male,
01009006,长坂坡,甘夫人,旦,female,
01009006,长坂坡,糜夫人,旦,female,
01009006,长坂坡,简雍,老生,male,
01009006,长坂坡,糜芳,丑,male,
01009006,长坂坡,文聘,净,male,
01009006,长坂坡,夏侯恩,丑,male,
01009006,长坂坡,徐庶,老生,male,
01009006,长坂坡,张飞,净,male,
01009008,白良关,尉迟恭,净,male,
01009008,白良关,尉迟宝林,净,male,
01009008,白良关,秦琼,老生,male,
01009008,白良关,程咬金,丑,male,
01009008,白良关,徐勣,老生,male,
01009008,白良关,李世民,小生,male,
01009008,白良关,梅秀英,正旦,unknown,
01009008,白良关,刘国珍,净,male,
01009009,卖绒花,崔华,丑,male,
01009009,卖绒花,二小姐,花旦,female,
01009009,卖绒花,院子,丑,male,
01009009,卖绒花,县令,老生,male,
01009009,卖绒花,邓文焕,小生,male,
01009010,伐子都,公孙阏,武生,male,
01009010,伐子都,颖考叔,净,male,
01009010,伐子都,郑庄公,老生,male,
01009011,雁门关,呼延必显,小生,male,
01009011,雁门关,潘洪,净,male,
01009012,青石山,九尾仙姬,武旦,female,
01009012,青石山,王法师,丑,male,
01009012,青石山,吕洞宾,老生,male,
01009012,青石山,关羽,红生,unknown,
01009012,青石山,周仓,净,male,
01009012,青石山,关平,武生,male,
01009012,青石山,周从纶,小生,male,
01009012,青石山,书童,丑,male,
01009013,长亭会,伍员,老生,male,
01009013,长亭会,申包胥,净,male,
01009014,濮阳城,陈宫,老生,male,
01009014,濮阳城,曹操,净,male,
01009014,濮阳城,吕布,小生,male,
01009014,濮阳城,田氏甲,末,unknown,
01009014,濮阳城,田氏乙,丑,male,
01009015,战樊城,伍员,老生,male,
01009015,战樊城,伍尚,老生,male,
01009015,战樊城,费无极,净,male,
01009015,战樊城,伍奢,外,unknown,
01009015,战樊城,武城黑,武净,unknown,
01009015,战樊城,敖绛士,丑,male,
01009016,进蛮诗,李白,老生,male,
01009016,进蛮诗,唐明皇,老生,male,
01009016,进蛮诗,杨国忠,净,male,
01009016,进蛮诗,高力士,丑,male,
01009016,进蛮诗,使臣,净,male,
01009018,失印救火,白槐,老生,male,
01009018,失印救火,金祥瑞,丑,male,
01009018,失印救火,白简,小生,male,
01009018,失印救火,白奇,老生,male,
01010001,马鞍山,俞伯牙,老生,male,
01010001,马鞍山,钟元甫,老生,male,
01010002,宫门带,褚遂良,老生,male,
01010002,宫门带,李渊,老生,male,
01010002,宫门带,李世民,小生,male,
01010002,宫门带,长孙无忌,末,unknown,
01010002,宫门带,尹妃,旦,female,
01010002,宫门带,张妃,旦,female,
01010003,渭水河,姬昌,老生,male,
01010003,渭水河,姜尚,净,male,
01010003,渭水河,太子甲,小生,male,
01010003,渭水河,太子乙,小生,male,
01010004,法场换子,徐策,外,unknown,
01010004,法场换子,徐夫人,老旦,female,
01010004,法场换子,张泰,净,male,
01010005,忠孝牌,薛广,老生,male,
01010005,忠孝牌,王春娥,正旦,unknown,
01010005,忠孝牌,薛保,外,unknown,
01010005,忠孝牌,薛倚哥,小生,male,
01010006,忠孝图,曹庄,小生,male,
01010006,忠孝图,焦氏,花旦,female,
01010006,忠孝图,曹母,老旦,female,
01010007,打面缸,大老爷,丑,male,
01010007,打面缸,王书吏,丑,male,
01010007,打面缸,周腊梅,旦,female,
01010007,打面缸,张才,丑,male,
01010007,打面缸,四老爷,丑,male,
01010010,锁云囊,梅花娘,花旦,female,
01010010,锁云囊,朱母,老旦,female,
01010010,锁云囊,朱小姐,旦,female,
01010010,锁云囊,梅公子,小生,male,
01010011,人才驸马,高能,小生,male,
01010011,人才驸马,杨仙同,小生,male,
